frequency_Hz,period_s,power_A0,power_A1,power_A2,above_1pct_FAP_A0,above_1pct_FAP_A1,above_1pct_FAP_A2
0.00381040,262.44,12.782566,5.219393,3.258571,1,0,0
0.00385561,259.36,6.747361,4.369189,2.529651,0,0,0
0.00390136,256.32,6.042239,2.911880,2.460775,0,0,0
0.00394765,253.32,8.148263,0.746818,1.099017,0,0,0
0.00399449,250.34,2.494655,0.482008,0.786406,0,0,0
0.00404189,247.41,0.680127,0.557438,0.729811,0,0,0
0.00408985,244.51,2.465831,1.473211,0.580742,0,0,0
0.00413838,241.64,0.697760,1.931805,0.337331,0,0,0
0.00418748,238.81,0.728865,1.517492,0.078696,0,0,0
0.00423717,236.01,0.659188,0.800870,0.007123,0,0,0
0.00428745,233.24,8.280795,0.491177,0.348850,0,0,0
0.00433832,230.50,17.711582,0.286993,0.818524,1,0,0
0.00438980,227.80,24.094224,0.210475,1.792795,1,0,0
0.00444189,225.13,44.385858,0.520809,2.142196,1,0,0
0.00449459,222.49,27.225715,0.175758,1.943893,1,0,0
0.00454792,219.88,28.307890,0.175829,1.771081,1,0,0
0.00460189,217.30,22.629512,0.575587,0.629086,1,0,0
0.00465649,214.75,11.052429,2.556352,1.206530,1,0,0
0.00471174,212.24,13.392414,4.324550,1.614391,1,0,0
0.00476765,209.75,23.626091,7.455528,2.136367,1,0,0
0.00482422,207.29,29.924854,4.734631,2.646768,1,0,0
0.00488147,204.86,20.889401,4.115136,1.432322,1,0,0
0.00493939,202.45,17.333550,1.195328,1.003272,1,0,0
0.00499800,200.08,3.571598,1.997665,0.139704,0,0,0
0.00505730,197.73,2.671802,1.783643,0.072551,0,0,0
0.00511731,195.42,1.275863,3.134624,0.744566,0,0,0
0.00517803,193.12,0.170990,3.088265,0.545381,0,0,0
0.00523947,190.86,0.613498,3.427573,0.976036,0,0,0
0.00530164,188.62,1.691694,3.862867,0.976177,0,0,0
0.00536455,186.41,2.231865,5.305452,2.005913,0,0,0
0.00542820,184.22,9.141012,7.286419,2.970799,0,0,0
0.00549261,182.06,4.744568,6.757142,3.033937,0,0,0
0.00555778,179.93,3.782621,4.556933,2.200803,0,0,0
0.00562373,177.82,0.647093,1.093900,0.817840,0,0,0
0.00569046,175.73,1.774081,0.400691,0.259825,0,0,0
0.00575798,173.67,10.229018,1.504010,0.561200,0,0,0
0.00582630,171.64,9.174651,2.899548,1.797222,0,0,0
0.00589543,169.62,12.977367,2.174180,0.940129,1,0,0
0.00596539,167.63,10.463225,1.104417,0.328510,0,0,0
0.00603617,165.67,18.659472,0.442235,0.531746,1,0,0
0.00610779,163.73,25.710412,0.297252,1.409433,1,0,0
0.00618027,161.81,28.930021,0.871557,2.865664,1,0,0
0.00625360,159.91,18.372767,0.696588,4.006713,1,0,0
0.00632780,158.03,11.991390,1.006867,4.547908,1,0,0
0.00640289,156.18,5.103127,1.412784,4.659487,0,0,0
0.00647886,154.35,7.759007,0.389670,4.256091,0,0,0
0.00655574,152.54,14.473477,0.236747,3.160761,1,0,0
0.00663352,150.75,13.603740,1.284887,2.026401,1,0,0
0.00671224,148.98,11.858330,0.581779,1.001258,1,0,0
0.00679188,147.23,3.919689,0.350628,0.706933,0,0,0
0.00687247,145.51,0.217509,0.688687,1.532658,0,0,0
0.00695402,143.80,2.072112,1.828895,2.507990,0,0,0
0.00703653,142.12,7.719230,1.086347,1.411872,0,0,0
0.00712002,140.45,10.189492,0.345030,0.049715,0,0,0
0.00720451,138.80,8.985585,1.589027,1.140131,0,0,0
0.00728999,137.17,2.812351,4.015546,4.174716,0,0,0
0.00737649,135.57,0.305488,2.570644,3.047447,0,0,0
0.00746402,133.98,6.296373,0.153073,0.227060,0,0,0
0.00755259,132.40,13.482191,1.893255,1.628866,1,0,0
0.00764220,130.85,11.723330,4.360613,5.350558,1,0,0
0.00773288,129.32,4.844024,3.325611,4.265995,0,0,0
0.00782464,127.80,0.622981,1.589383,1.707581,0,0,0
0.00791748,126.30,0.186171,0.789617,4.719302,0,0,0
0.00801143,124.82,2.003533,1.103322,9.222752,0,0,0
0.00810649,123.36,6.579079,3.195388,9.757239,0,0,0
0.00820268,121.91,6.968347,3.552979,8.234236,0,0,0
0.00830001,120.48,5.364299,2.853193,5.419799,0,0,0
0.00839849,119.07,9.984419,0.076343,4.229516,0,0,0
0.00849815,117.67,12.814027,0.509671,7.003308,1,0,0
0.00859898,116.29,6.239752,0.955139,5.133468,0,0,0
0.00870101,114.93,0.443689,0.928233,2.226384,0,0,0
0.00880426,113.58,2.477989,3.032164,13.100107,0,0,1
0.00890873,112.25,3.528073,2.148056,15.015847,0,0,1
0.00901443,110.93,0.800782,1.062341,0.046149,0,0,0
0.00912140,109.63,0.482158,8.048577,35.522317,0,0,1
0.00922963,108.35,1.063217,18.573436,106.606807,0,1,1
0.00933914,107.08,1.178349,17.684446,98.032493,0,1,1
0.00944996,105.82,1.292523,10.352789,27.133931,0,0,1
0.00956209,104.58,0.896369,2.042310,0.379242,0,0,0
0.00967555,103.35,1.369732,0.058819,3.941753,0,0,0
0.00979035,102.14,0.201235,0.706929,0.078127,0,0,0
0.00990652,100.94,3.969135,3.510476,3.333598,0,0,0
0.01002407,99.76,10.014485,5.428318,2.504242,0,0,0
0.01014301,98.59,6.153558,3.304202,0.779636,0,0,0
0.01026337,97.43,0.993648,0.605097,3.592182,0,0,0
0.01038515,96.29,2.821614,1.811903,2.064299,0,0,0
0.01050837,95.16,3.387328,3.798555,2.699394,0,0,0
0.01063306,94.05,2.777651,1.706277,1.572428,0,0,0
0.01075923,92.94,6.187936,1.582326,4.347371,0,0,0
